City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,neiafu,-18.65,-173.9833,301.53,78,75,7.2,TO,1698624872
222,arraial do cabo,-22.9661,-42.0278,296.82,92,98,5.94,BR,1698624872
223,i-n-salah,27.1935,2.4607,301.07,18,55,2.19,DZ,1698624872
224,bengkulu,-3.8004,102.2655,296.66,86,98,1.73,ID,1698624872
225,queenstown,-31.8976,26.8753,277.42,84,24,6.62,ZA,1698624872
226,kirakira,-10.4544,161.9205,302.55,73,68,3.76,SB,1698624873
227,norfolk county,42.1668,-71.2495,282.6,94,100,0.45,US,1698624815
228,brokopondo,4.75,-55.1667,301.79,70,95,4.78,SR,1698624873
229,igarka,67.4667,86.5833,256.03,97,40,0.88,RU,1698624873
230,kodarma,24.4667,85.6,291.36,71,14,1.14,IN,1698624873
231,sambir,49.5183,23.1975,288.08,71,92,7.34,UA,1698624874
232,nuuk,64.1835,-51.7216,279.49,52,100,10.8,GL,1698624731
233,tatishchevo,51.6703,45.5953,277.14,85,100,6.97,RU,1698624874
234,labytnangi,66.6572,66.4183,258.28,98,97,1.58,RU,1698624875
235,callao,-12.0667,-77.15,297.44,77,0,5.66,PE,1698624875
236,mariental,-24.6333,17.9667,290.85,16,1,3.67,NA,1698624875
237,hanceville,34.0607,-86.7675,296.79,63,1,1.24,US,1698624875
238,chardara,41.2547,67.9692,291.52,49,32,0.54,KZ,1698624876
239,atafu village,-8.5421,-172.5159,302.18,71,98,5.07,TK,1698624876
240,minden,52.2833,8.9167,286.27,75,54,7.2,DE,1698624876
241,acapulco de juarez,16.8634,-99.8901,300.64,83,58,3.27,MX,1698624876
242,quelimane,-17.8786,36.8883,298.96,79,31,3.21,MZ,1698624876
243,fort bragg,35.139,-79.006,295.26,76,0,0.0,US,1698624877
244,sawai madhopur,25.9833,76.3667,294.79,43,10,2.33,IN,1698624877
245,aasiaat,68.7098,-52.8699,268.03,77,100,1.77,GL,1698624877
246,horta,38.5333,-28.6333,290.22,65,99,2.63,PT,1698624877
247,samfya,-11.3649,29.5565,295.78,67,100,1.41,ZM,1698624877
248,portland,45.5234,-122.6762,288.34,42,20,5.14,US,1698624758
249,ola,59.5833,151.2833,269.9,63,16,1.85,RU,1698624878
250,bagan serai,5.0108,100.541,299.32,95,89,1.07,MY,1698624878
251,waddan,29.1614,16.139,294.07,53,12,3.54,LY,1698624878
252,lorengau,-2.0226,147.2712,298.84,89,100,5.28,PG,1698624878
253,okny,47.5404,29.46,286.25,53,36,3.78,UA,1698624879
254,rongelap,11.1635,166.8941,301.94,74,82,7.93,MH,1698624879
255,tahe,52.3333,124.7333,269.72,58,67,4.26,CN,1698624879
256,vryheid,-27.7695,30.7917,278.82,83,100,3.0,ZA,1698624879
257,grande prairie,55.1667,-118.8027,273.25,80,75,1.03,CA,1698624879
258,lospalos,-8.5186,127.0025,300.41,60,65,3.4,TL,1698624879
259,camiri,-20.05,-63.5167,299.44,61,65,0.51,BO,1698624880
260,kadnikov,59.5022,40.338,269.72,97,48,2.22,RU,1698624880
261,longyearbyen,78.2186,15.6401,267.06,93,40,5.14,SJ,1698624880
262,nantucket,41.2835,-70.0995,284.23,82,100,5.14,US,1698624836
263,brisas de zicatela,15.8369,-97.0419,302.44,58,40,2.57,MX,1698624880
264,okhotsk,59.3833,143.3,268.36,76,17,3.64,RU,1698624881
265,grand-bassam,5.2118,-3.7388,296.13,86,25,1.23,CI,1698624881
266,puerto aysen,-45.4,-72.7,272.71,97,93,0.88,CL,1698624881
267,kapuskasing,49.4169,-82.4331,271.2,86,75,0.51,CA,1698624881
268,san patricio,28.017,-97.5169,301.23,66,33,4.64,US,1698624881
269,talcahuano,-36.7167,-73.1167,282.97,66,20,2.57,CL,1698624882
270,noosa heads,-26.3833,153.15,297.78,60,25,2.19,AU,1698624882
271,nagqu,31.5,92.0,268.37,88,100,1.24,CN,1698624882
272,louisville,38.2542,-85.7594,288.21,92,100,1.54,US,1698624680
273,kushiro,42.975,144.3747,284.68,71,40,2.06,JP,1698624882
274,barreirinhas,-2.7469,-42.8264,299.64,77,42,5.2,BR,1698624883
275,hefei,31.8639,117.2808,292.43,64,0,1.95,CN,1698624883
276,montepuez,-13.1256,38.9997,295.62,82,30,3.45,MZ,1698624883
277,magistral'nyy,56.1725,107.4458,265.02,65,21,1.6,RU,1698624883
278,saint augustine,29.8947,-81.3145,297.59,90,0,1.54,US,1698624755
279,'ahuimanu,21.4447,-157.8378,304.14,59,0,5.14,US,1698624883
280,bonanza,14.0289,-84.591,295.73,98,81,0.53,NI,1698624884
281,bo rai,12.5728,102.5371,298.19,92,92,1.48,TH,1698624884
282,tazovsky,67.4667,78.7,256.95,94,13,1.4,RU,1698624884
283,prince rupert,54.3161,-130.3201,279.98,75,0,2.06,CA,1698624884
284,cidade velha,14.9167,-23.6167,298.41,73,40,3.09,CV,1698624884
285,zayed city,24.3768,54.589,302.59,69,0,3.6,AE,1698624885
